threads,mem,time
1,64M,0.008
1,64M,0.001
1,64M,0.002
1,64M,0.001
2,64M,0.001
2,64M,0.002
2,64M,0.001
4,64M,0.001
2,64M,0.001
4,64M,0.001
4,64M,0.002
8,64M,0.001
8,64M,0.001
4,64M,0.001
8,64M,0.001
8,64M,0.001
16,64M,0.001
16,64M,0.002
16,64M,0.001
1,128M,0.002
1,128M,0.002
1,128M,0.001
1,128M,0.001
2,128M,0.001
2,128M,0.001
2,128M,0.001
2,128M,0.001
4,128M,0.001
4,128M,0.001
8,128M,0.001
8,128M,0.001
4,128M,0.002
4,128M,0.001
8,128M,0.001
16,128M,0.001
8,128M,0.001
16,128M,0.002
1,512M,0.002
1,512M,0.002
1,512M,0.001
1,512M,0.001
2,512M,0.001
2,512M,0.001
4,512M,0.001
2,512M,0.001
2,512M,0.001
4,512M,0.001
4,512M,0.002
4,512M,0.001
8,512M,0.001
8,512M,0.001
8,512M,0.001
8,512M,0.001
16,512M,0.001
16,512M,0.003
16,512M,0.002
16,512M,0.001
1,1G,0.001
1,1G,0.006
1,1G,0.003
1,1G,0.001
2,1G,0.002
2,1G,0.003
2,1G,0.001
4,1G,0.001
4,1G,0.001
2,1G,0.001
4,1G,0.001
4,1G,0.001
8,1G,0.002
8,1G,0.001
8,1G,0.002
8,1G,0.001
16,1G,0.001
16,1G,0.002
16,1G,0.001
16,1G,0.002
1,1500M,0.001
1,1500M,0.001
1,1500M,0.002
1,1500M,0.001
2,1500M,0.001
2,1500M,0.002
2,1500M,0.002
2,1500M,0.002
4,1500M,0.001
4,1500M,0.001
4,1500M,0.001
8,1500M,0.007
8,1500M,0.004
4,1500M,0.002
16,1500M,0.001
8,1500M,0.001
8,1500M,0.002
16,1500M,0.002
16,1500M,0.002
16,1500M,0.001
1,3G,0.001
1,3G,0.001
2,3G,0.001
1,3G,0.001
4,3G,0.001
2,3G,0.001
2,3G,0.001
2,3G,0.002
4,3G,0.001
4,3G,0.001
4,3G,0.001
8,3G,0.002
8,3G,0.002
8,3G,0.001
8,3G,0.001
